sampleId,ParticipantId,collectionEnd,Days,Latitude,Longitude,melanogaster,simulans,suzukii,busckii,testacea,hydei,mercatorum,repleta,funebris,immigrans,phalerata,subobscura,virilis
VCFC_022,VCF24A071,08/07/2024,189,48.194892,16.282509,5,0,0,0,0,0,32,0,1,0,0,0,0
VCFC_023,VCF24A005,08/07/2024,189,48.202186,16.295935,0,0,0,0,0,0,10,0,0,0,0,0,0
VCFC_024,VCF24A020,08/07/2024,189,48.2097492,16.3139526,0,0,0,0,0,10,54,0,0,0,0,0,0
VCFC_025,VCF24M009,09/07/2024,190,48.1820617,16.5031151,16,0,0,0,0,61,0,0,12,6,0,0,1
VCFC_025#2,VCF24M009,09/07/2024,190,48.1820617,16.5031151,13,9,0,0,0,0,0,0,0,0,0,0,0
VCFC_026,VCF24A003,09/07/2024,190,48.24752,16.439,0,0,0,0,0,0,10,0,0,0,0,0,0
VCFC_027,VCF24A100,09/07/2024,190,48.193077,16.316525,24,0,0,0,0,0,21,0,4,0,0,0,1
VCFC_028,VCF24A100,09/07/2024,190,48.193077,16.316525,0,0,0,0,0,0,26,0,0,0,0,0,0
VCFC_029,VCF24A010,11/07/2024,192,48.1525687,16.3701174,38,0,0,1,0,0,7,0,3,3,0,0,0
VCFC_030,VCF24A010,11/07/2024,192,48.1525687,16.3701174,12,0,4,0,0,0,0,0,0,0,0,0,0
VCFC_031,VCF24A005,12/07/2024,193,48.202186,16.295935,0,0,0,0,0,0,8,0,0,0,0,0,0
VCFC_032,VCF24A009,11/07/2024,192,48.4338949,16.47867439,0,0,0,1,0,29,1,0,0,0,0,0,0
VCFC_033,VCF24A054,12/07/2024,193,48.238611,16.38297,6,0,0,0,0,0,29,0,3,0,0,0,0
VCFC_034,VCF24A124,14/07/2024,195,48.1895931,16.2977181,0,0,0,0,0,2,32,0,1,0,0,0,0
VCFC_035,VCF24A055,11/07/2024,192,48.26137,16.384091,84,0,0,0,0,0,12,0,0,0,0,0,0
VCFC_036,VCF24A095,14/07/2024,195,48.1951118,16.2876311,65,0,0,0,0,3,47,0,20,0,0,0,0
VCFC_037,VCF24A010,15/07/2024,196,48.1525687,16.3701174,28,0,0,0,0,7,3,0,3,0,0,0,1
VCFC_038,VCF24A010,15/07/2024,196,48.1525687,16.3701174,8,11,4,0,0,0,0,0,0,1,0,0,0
VCFC_039,VCF24A016,15/07/2024,196,48.29798735,16.41942077,59,0,0,0,0,0,5,0,0,0,0,0,0
VCFC_040,VCF24A133,15/07/2024,196,48.2450494,16.3722084,22,0,0,0,0,1,14,0,0,0,0,0,0
VCFC_041,VCF24A014,17/07/2024,198,48.252675,16.338313,0,0,0,0,0,1,8,0,0,0,0,0,0
VCFC_042,VCF24A010,17/07/2024,198,48.1525687,16.3701174,15,0,0,0,0,1,3,0,3,0,0,0,0
VCFC_043,VCF24A010,17/07/2024,198,48.1525687,16.3701174,11,0,2,0,0,0,0,0,2,1,0,0,0
VCFC_044,VCF24A003,22/07/2024,203,48.24752,16.439,3,0,0,0,0,2,18,0,0,0,0,0,0
VCFC_045,VCF24A031,22/07/2024,203,48.2096648,16.3375929,63,0,0,0,0,3,15,0,3,0,0,0,0
VCFC_046,VCF24A133,22/07/2024,203,48.2450494,16.3722084,22,0,2,0,0,6,18,0,1,0,0,0,0
VCFC_047,VCF24A006,22/07/2024,203,48.232858,16.290515,25,0,0,0,0,0,11,0,0,0,0,0,0
VCFC_048,VCF24A071,18/07/2024,199,48.194892,16.282509,14,0,0,0,0,0,9,0,0,0,0,0,0
VCFC_049,VCF24A106,18/07/2024,199,48.180312,16.387895,1,0,0,0,0,47,4,0,1,0,0,0,0
VCFC_050,VCF24A010,22/07/2024,203,48.1525687,16.3701174,87,2,0,0,0,3,5,0,1,0,0,0,0
VCFC_051,VCF24A010,22/07/2024,203,48.1525687,16.3701174,14,0,38,0,0,2,3,0,2,1,0,0,0
VCFC_052,VCF24A135,22/07/2024,203,48.2520897,16.43862778,6,0,0,0,0,0,11,0,0,0,0,0,0
VCFC_053,VCF24A004,22/07/2024,203,48.226806,16.1649319,1,0,0,0,0,0,21,0,0,0,0,0,0
VCFC_054,VCF24A054,17/07/2024,198,48.238611,16.38297,32,0,0,0,0,0,23,0,2,0,0,0,0
VCFC_055,VCF24A003,08/07/2024,189,48.24752,16.439,2,0,0,0,0,0,1,0,0,0,0,0,0
VCFC_056,VCF24A001,16/07/2024,197,48.2909924,16.3305821,16,0,0,0,0,5,55,0,0,1,0,0,0
VCFC_057,VCF24A137,22/07/2024,203,48.2247254,16.38306948,73,0,0,0,0,1,48,0,3,0,0,0,0
VCFC_058,VCF24A132,23/07/2024,204,48.1938088,16.3432726,9,0,0,0,0,0,1,0,0,0,0,0,0
VCFC_059,VCF24A014,24/07/2024,205,48.252675,16.338313,0,0,0,0,0,3,14,0,0,1,0,0,0
VCFC_060,VCF24A053,25/07/2024,206,48.10110745,16.30012191,23,0,0,0,0,17,0,0,0,1,0,0,0
VCFC_061,VCF24A055,24/07/2024,205,48.26137,16.384091,10,1,1,0,0,1,3,0,0,0,0,0,0
VCFC_062,VCF24A071,25/07/2024,206,48.194892,16.282509,45,0,0,0,0,2,24,0,0,0,0,0,0
